geolocation_zip_state_id,geolocation_zip_code_prefix,geolocation_state,region_id,representative_city,observation_count,distinct_city_count,latitude_mean_all,longitude_mean_all,latitude_mean_in_broad_bbox,longitude_mean_in_broad_bbox,broad_bbox_outlier_count
30290-MG,30290,MG,MG,belo horizonte,44,1,-19.919022,-43.883152,-19.919022,-43.883152,0
30295-MG,30295,MG,MG,belo horizonte,28,1,-19.913677,-43.883483,-19.913677,-43.883483,0
30310-MG,30310,MG,MG,belo horizonte,586,1,-19.946634,-43.928523,-19.946634,-43.928523,0
30315-MG,30315,MG,MG,belo horizonte,210,1,-19.953803,-43.930904,-19.953803,-43.930904,0
30320-MG,30320,MG,MG,belo horizonte,426,1,-19.967129,-43.939936,-19.967129,-43.939936,0
30328-MG,30328,MG,MG,belo horizonte,1,1,-19.969886,-43.942399,-19.969886,-43.942399,0
30330-MG,30330,MG,MG,belo horizonte,335,1,-19.944898,-43.939585,-19.944898,-43.939585,0
30335-MG,30335,MG,MG,belo horizonte,10,1,-19.925068,-43.938429,-19.925068,-43.938429,0
30350-MG,30350,MG,MG,belo horizonte,421,1,-19.948076,-43.947618,-19.948076,-43.947618,0
30360-MG,30360,MG,MG,belo horizonte,187,1,-19.964443,-43.948558,-19.964443,-43.948558,0
30380-MG,30380,MG,MG,belo horizonte,462,1,-19.945831,-43.952596,-19.945831,-43.952596,0
30390-MG,30390,MG,MG,belo horizonte,46,1,-19.992762,-43.966360,-19.992762,-43.966360,0
30410-MG,30410,MG,MG,belo horizonte,23,1,-19.923928,-43.968207,-19.923928,-43.968207,0
30411-MG,30411,MG,MG,belo horizonte,397,1,-19.926104,-43.966235,-19.926104,-43.966235,0
30420-MG,30420,MG,MG,belo horizonte,2,1,-19.930813,-43.998936,-19.930813,-43.998936,0
30421-MG,30421,MG,MG,belo horizonte,434,1,-19.937106,-43.976310,-19.937106,-43.976310,0
30430-MG,30430,MG,MG,belo horizonte,8,1,-19.933505,-43.962289,-19.933505,-43.962289,0
30431-MG,30431,MG,MG,belo horizonte,367,1,-19.935487,-43.966850,-19.935487,-43.966850,0
30441-MG,30441,MG,MG,belo horizonte,385,1,-19.937128,-43.957722,-19.937128,-43.957722,0
30451-MG,30451,MG,MG,belo horizonte,47,1,-19.932594,-43.962658,-19.932594,-43.962658,0
30455-MG,30455,MG,MG,belo horizonte,62,1,-19.969341,-43.961468,-19.969341,-43.961468,0
30460-MG,30460,MG,MG,belo horizonte,3,1,-19.942315,-43.972362,-19.942315,-43.972362,0
30480-MG,30480,MG,MG,belo horizonte,4,1,-19.928284,-43.975169,-19.928284,-43.975169,0
30490-MG,30490,MG,MG,belo horizonte,1,1,-19.951509,-43.974900,-19.951509,-43.974900,0
30492-MG,30492,MG,MG,belo horizonte,124,1,-19.969152,-43.967390,-19.969152,-43.967390,0
30493-MG,30493,MG,MG,belo horizonte,85,1,-19.973204,-43.964839,-19.973204,-43.964839,0
30494-MG,30494,MG,MG,belo horizonte,145,1,-19.960060,-43.961648,-19.960060,-43.961648,0
30510-MG,30510,MG,MG,belo horizonte,162,1,-19.938244,-43.992257,-19.938244,-43.992257,0
30512-MG,30512,MG,MG,belo horizonte,55,1,-19.943140,-44.000122,-19.943140,-44.000122,0
30514-MG,30514,MG,MG,belo horizonte,56,1,-19.952266,-43.992365,-19.952266,-43.992365,0
30516-MG,30516,MG,MG,belo horizonte,64,1,-19.951640,-43.990147,-19.951640,-43.990147,0
30518-MG,30518,MG,MG,belo horizonte,65,1,-19.952450,-44.003255,-19.952450,-44.003255,0
30520-MG,30520,MG,MG,belo horizonte,191,1,-19.940411,-44.018452,-19.940411,-44.018452,0
30525-MG,30525,MG,MG,belo horizonte,98,1,-19.934237,-44.013983,-19.934237,-44.013983,0
30530-MG,30530,MG,MG,belo horizonte,160,1,-19.929317,-44.000125,-19.929317,-44.000125,0
