date_id,date,day_of_month,day_of_week_iso,day_name,day_name_short,week_start_date,iso_week,iso_year,month_number,month_name,month_name_short,year_month,quarter_number,year_quarter,year,is_weekend,is_month_end
20161031,2016-10-31,31,1,Monday,Mon,2016-10-31,44,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,1
20161101,2016-11-01,1,2,Tuesday,Tue,2016-10-31,44,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161102,2016-11-02,2,3,Wednesday,Wed,2016-10-31,44,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161103,2016-11-03,3,4,Thursday,Thu,2016-10-31,44,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161104,2016-11-04,4,5,Friday,Fri,2016-10-31,44,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161105,2016-11-05,5,6,Saturday,Sat,2016-10-31,44,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161106,2016-11-06,6,7,Sunday,Sun,2016-10-31,44,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161107,2016-11-07,7,1,Monday,Mon,2016-11-07,45,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161108,2016-11-08,8,2,Tuesday,Tue,2016-11-07,45,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161109,2016-11-09,9,3,Wednesday,Wed,2016-11-07,45,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161110,2016-11-10,10,4,Thursday,Thu,2016-11-07,45,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161111,2016-11-11,11,5,Friday,Fri,2016-11-07,45,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161112,2016-11-12,12,6,Saturday,Sat,2016-11-07,45,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161113,2016-11-13,13,7,Sunday,Sun,2016-11-07,45,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161114,2016-11-14,14,1,Monday,Mon,2016-11-14,46,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161115,2016-11-15,15,2,Tuesday,Tue,2016-11-14,46,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161116,2016-11-16,16,3,Wednesday,Wed,2016-11-14,46,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161117,2016-11-17,17,4,Thursday,Thu,2016-11-14,46,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161118,2016-11-18,18,5,Friday,Fri,2016-11-14,46,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161119,2016-11-19,19,6,Saturday,Sat,2016-11-14,46,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161120,2016-11-20,20,7,Sunday,Sun,2016-11-14,46,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161121,2016-11-21,21,1,Monday,Mon,2016-11-21,47,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161122,2016-11-22,22,2,Tuesday,Tue,2016-11-21,47,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161123,2016-11-23,23,3,Wednesday,Wed,2016-11-21,47,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161124,2016-11-24,24,4,Thursday,Thu,2016-11-21,47,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161125,2016-11-25,25,5,Friday,Fri,2016-11-21,47,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161126,2016-11-26,26,6,Saturday,Sat,2016-11-21,47,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161127,2016-11-27,27,7,Sunday,Sun,2016-11-21,47,2016,11,November,Nov,2016-11,4,2016-Q4,2016,1,0
20161128,2016-11-28,28,1,Monday,Mon,2016-11-28,48,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161129,2016-11-29,29,2,Tuesday,Tue,2016-11-28,48,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,0
20161130,2016-11-30,30,3,Wednesday,Wed,2016-11-28,48,2016,11,November,Nov,2016-11,4,2016-Q4,2016,0,1
20161201,2016-12-01,1,4,Thursday,Thu,2016-11-28,48,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
20161202,2016-12-02,2,5,Friday,Fri,2016-11-28,48,2016,12,December,Dec,2016-12,4,2016-Q4,2016,0,0
